Name,Subtitile,Authoring country,Authorinng regional organization,All applicable countries,Topics,Subtopics,Document type,Description,Date of original publication,Date entered into force,Language,Original language title,File URL,size,type
Environment Protection Act 2016,Act No. 18 of 2016,SYC,,SYC,"Antimicrobial resistance and water, sanitation, and hygiene","Pollutant disposal in water sources, Effluent wastewater disposal ",Legislation,"This Act establishes the Ministry for the Environment, creates the National Environmental Advisory Council, and addresses pollution control, environmental authorization, impact assessment, and enforcement. It also covers the appointment of an Administrator, prescribes environmental standards, classifies water usage, protects of catchment areas, prevents the discharge of pollutants, establishes air pollution control areas, protects coastal zones, and regulates petroleum and mineral exploration activities.
",2016-08-26,2016-08-26,English,Environment Protection Act 2016 (No. 18 of 2016),https://ampeid.org/static/081b196b677b7085a55bbdb60c15265e/sey177682..pdf,1.44 MB,.pdf
"Environment Protection Act, 2019 (2076",,NPL,,NPL,"Antimicrobial resistance and water, sanitation, and hygiene",Pollutant disposal in water sources,Legislation,"This Act protects the environment by focusing on the proper management of natural resources, including penalties for polluting, assessment of environmental impacts of substances, and approval of proposals that will impact the environment.
",2019-10-11,2019-10-11,English,"Environment Protection Act, 2019 (2076)",https://ampeid.org/static/75437386715efef4a6ee561ba54bdcf0/nep202860..pdf,759 kB,.pdf
Environment Protection Law,,QAT,,QAT,"Antimicrobial resistance and water, sanitation, and hygiene","Medical waste disposal, Pollutant disposal in water sources, Water quality monitoring, Water quality standards",Legislation,"This legislation outlines the methods Qatar will employ to protect the environment, including the development of natural resources, the conservation of biodiversity, the protection of the society from the environment, the conservation of endangered species, and the protection of the air and water against pollution.
",2002-09-29,2002-09-29,Arabic,قانون حماية البيئة,https://ampeid.org/static/f078c92b3254804408cf9221707a2ebc/QAT_Environment Protection..pdf,522 kB,.pdf
Environment Protection Law No. 17283,,URY,,URY,Access and benefit-sharing,"Scope of legislation, Legal sanctions, Digital sequence information (DSI)",Legislation,"This Law outlines the various aspects of Environmental Protection Law active in Uruguay including the protection of biological and genetic diversity outlined in Article 22.
",2000-12-12,2000-12-12,Spanish,Ley N° 17283 de Proteccion Del Medio Ambiente,https://ampeid.org/static/67db24a47f74c11409e61f6f1414a4bb/LeyN17283..pdf,159 kB,.pdf
Environment Protection and Biodiversity Conservation Regulations 2000,,AUS,,AUS,Access and benefit-sharing,"Access to resources, Benefit-sharing, Scope of legislation, Prior informed consent (PIC), Compliance",Regulation,"This is a compilation of all Regulations pertaining to the Environment Protections and Biodiversity Conservation Act of 1999. It applies to Commonwealth areas in Australia only, and excludes land which fall under individual State and Territories jurisdiction. 
",2022-12-17,2022-12-17,English,Environment Protection and Biodiversity Conservation Regulations 2000,https://ampeid.org/static/3e5d3bee572b37c8d5c298cc7e10680a/epabcr2000697..pdf,2.71 MB,.pdf
Environment Protection and Management Law,,LBR,,LBR,"Antimicrobial resistance and water, sanitation, and hygiene","Water quality standards, Water quality monitoring",Legislation,"This Act establishes the legal framework for the Environment Protection Authority, working in partnership with regulated Ministries and organizations, to facilitate sustainable development and environmental protection and to provide high-quality information to the public. This law lays out the standards for water quality and monitoring. 
",2002-11-26,2003-04-30,English,Environment Protection and Management Law,https://ampeid.org/static/59c48d8b19e117ed2c90d0c2c6a85613/lbr53038..pdf,461 kB,.pdf
Environment Regulations 2001,,KIR,,KIR,"Antimicrobial resistance and water, sanitation, and hygiene","Effluent wastewater disposal , Medical waste disposal, Water quality standards",Regulation,"This regulation provides more definitions for types of waste and establishes for the Secretary for the Ministry of Environment and Social Development to issue an environment report every two years that includes information like water quality. The regulation also sets standards for effluent wastewater disposal and includes specific provisions for wastewater disposal from medical establishments. 
",2001-12-13,2001-12-13,English,Environment Regulations 2001,https://ampeid.org/static/00130fa697b2b9662281b356bbbb6c8f/kir205010..pdf,6.91 MB,.pdf
Environmental Code,,FRA,,FRA,"Antimicrobial resistance and water, sanitation, and hygiene","Pollutant disposal in water sources, Medical waste disposal, Water quality monitoring, Water quality standards",Legislation,"This legislation outlines regulations and provisions concerning the environment, including various physical environments, the protection of natural areas, the conservation of French heritage, the prevention of pollution, the protection of the Antarctic, and the construction of environment-related facilities. It includes provisions for water quality monitoring and regulates the disposal of medical and other hazardous waste categories. 
",2000-11-18,2000-11-18,French,Code de l’environnement,https://ampeid.org/static/a15a22c2a0de4058c24db9cc7d75de2a/Fra178934..pdf,2.02 MB,.pdf
Environmental Code,,BEL,,BEL,"Antimicrobial resistance and water, sanitation, and hygiene",Water quality standards,Legislation,"This law concerns the quality and sustainability of the Belgium's environment and natural resources in the Walloon region, and includes provisions for quality assurance at every stage of the water cycle. 
",2008-12-05,2020-06-18,French,Code de l’Environnement.,https://ampeid.org/static/e64d73a16bc1e751c89d52dc08d96a21/bel197066-I..pdf,903 kB,.pdf
Environmental Code (Law No. 400-VI ZRK),,KAZ,,KAZ,"Antimicrobial resistance and water, sanitation, and hygiene","Medical waste disposal, Effluent wastewater disposal ",Legislation,"Section 19 of this environmental code establishes regulations on waste management, including hazardous waste management.
",2021-01-02,2021-01-02,Russian,ЭКОЛОГИЧЕСКИЙ КОДЕКС РЕСПУБЛИКИ КАЗАХСТАН Кодекс Республики Казахстан от 2 января 2021 года № 400-VI ЗРК,https://ampeid.org/static/6935b306811b31276b0e69bb6228d87c/kaz201580..pdf,2 MB,.pdf
Environmental Code of the Central African Republic: Law No. 07.018 of 28 December 2007,,CAF,,CAF,"Antimicrobial resistance and water, sanitation, and hygiene",Water quality monitoring,Legislation,"This legislation determines the regulatory measures for the Environmental Impact Assessment, as well as the methodology and procedures for it.
",2007-12-28,2008-12-27,French,LOI N°07.018 DU 28 DECEMBRE 2007 PORTANT CODE DE L’ENVIRONNEMENT DE LA REPUBLIQUE CENTRAFRICAINE,https://ampeid.org/static/ad5f275e6e2f586a4b4463d0b16597dc/caf105925..pdf,699 kB,.pdf
Environmental Code of the Northern Province,,NCL,,NCL,Access and benefit-sharing,"Scope of legislation, Access to resources, Benefit-sharing, Prior informed consent (PIC), Compliance, Legal sanctions",Legislation,"This law establishes the environmental laws in the Northern Province of New Caledonia, with articles 311-316 referring to access and benefit-sharing of genetic resources.
",2019-03-01,2019-03-01,French,Code de l’environnement de la province Nord,https://ampeid.org/static/4a7e14bee9f156d6b92a866e3f1360ef/Code de l'environnement de la Province Nord..pdf,3.96 MB,.pdf
"Environmental Code of the Southern Province of March 20, 2009",,NCL,,NCL,Access and benefit-sharing,"Scope of legislation, Access to resources, Benefit-sharing, Prior informed consent (PIC), Contractual terms, Compliance, Legal sanctions",Legislation,"This Decree outlines the law as it relates to access and benefit sharing of genetic resources in the southern province of New Caledonia
",2009-03-20,2009-03-20,French,Code de l'environnement de la province Sud du 20 mars 2009,https://ampeid.org/static/442254e34c715de744caa0c4fe39accc/Code de l'environnement de la province Sud du 20 mars 2009..pdf,1.5 MB,.pdf
Environmental Conservation Law (Pyidaungsu Hluttaw Law No. 9/2012),,MMR,,MMR,"Antimicrobial resistance and water, sanitation, and hygiene","Water quality standards, Water quality monitoring, Effluent wastewater disposal ",Legislation,"This Law give guidance on environmental conservation, including awareness programs, plans to reclaim ecosystems, and environmental quality standards relating to effluent discharge, emissions, and more.
",2012-03-30,2012-03-30,English,Environmental Conservation Law (Pyidaungsu Hluttaw Law No. 9/2012),https://ampeid.org/static/afee8c9215bf07db58ad28481680163b/mya139025..pdf,59.5 kB,.pdf
Environmental Criminal Law,,VEN,,VEN,Access and benefit-sharing,Legal sanctions,Legislation,"This law describes the penalties and fines incurred for breaking environmental laws, including accessing genetic resources without authorization and breaching the terms of the access contract
",2012-05-02,2012-05-02,Spanish,Ley Penal del Ambiente,https://ampeid.org/static/c870e99feaba783b2b2602afd0708a03/VEN_Environmental Criminal Law..pdf,1.1 MB,.pdf
Environmental Framework Act (No. 97 of 2020),,SUR,,SUR,"Antimicrobial resistance and water, sanitation, and hygiene","Pollutant disposal in water sources, Water quality monitoring",Legislation,"This Act concerns the sustainable management of the environment in Suriname and the implementation of obligations deriving from international climate treaties and agreements. The act establishes an environmental fund and a National Environment Authority, which is responsible for defining polluting activities, monitoring activities that may impact the environment, and establishing standards and procedures for waste treatment.
",2020-05-07,2020-05-07,Dutch,"WET van 07 mei 2020, houdende regels voor duurzaam milieumanagement (Milieu Raamwet)",https://ampeid.org/static/0f009c4dab2d0b1dc1cde5346d43a91c/sur199141..pdf,12.5 MB,.pdf
"Environmental Health Services (Collection and Disposal of Waste) Regulations, 2004 (Cap. 232)",,BHS,,BHS,"Antimicrobial resistance and water, sanitation, and hygiene",Medical waste disposal,Regulation,"This regulation provides for the creation of a public waste collection service, regulates the disposal of waste, and regulates the handling of special waste, which includes medical waste. 
",2004-03-31,2004-03-31,English,"Environmental Health Services (Collection and Disposal of Waste) Regulations, 2004 (Cap. 232)",https://ampeid.org/static/f7b2e016b4f032f70c8f6363f7b47dc5/bha78758..pdf,160 kB,.pdf
Environmental Impact Assessment Act,,LIE,,LIE,"Antimicrobial resistance and water, sanitation, and hygiene","Pollutant disposal in water sources, Water quality monitoring",Legislation,"This Act requires the identification, description, and assessment of environmental impacts in both public and private projects, aiming to comply with European Union directives and containing provisions for assessment procedures, organization and implementation, legal remedies, penalties, and transitional and final provisions.
",2013-12-05,2014-02-01,German,Gesetz vom 5. Dezember 2013 über die Umweltverträglichkeitsprüfung (UVPG),https://ampeid.org/static/ec53abb389468fc13e681ac98da23707/lie130691..pdf,140 kB,.pdf
Environmental Impact Assessment Act,,KOR,,KOR,"Antimicrobial resistance and water, sanitation, and hygiene",Water quality monitoring,Legislation,"This legislation promotes sustainable development by conducting environmental impact assessments of plans and projects, formulating conservation measures, and establishing an Environmental Impact Assessment Council.
",2011-07-21,2011-07-21,English,Environmental Impact Assessment Act,https://ampeid.org/static/d9413e86149baf9be572b4703d4a1687/kor167970..pdf,75.1 kB,.pdf
"Environmental Impact Assessment Decree, 1992",,NGA,,NGA,"Antimicrobial resistance and water, sanitation, and hygiene",Water quality monitoring,Legislation,"This act sets the procedures for the environmental impact assessment on projects that effect the environment.
",1992-12-10,1992-12-10,English,"Environmental Impact Assessment Decree, 1992",https://ampeid.org/static/85b257a1b2e12b32ff87647844825c61/NGA_Environmental Impact Assessment Decree..pdf,283 kB,.pdf
Environmental Impact Assessment Proclamation,Proclamation no. 299/2002,ETH,,ETH,"Antimicrobial resistance and water, sanitation, and hygiene",Water quality monitoring,Legislation,"This law requires that before projects can obtain licensing, permits, or begin work, an environmental impact assessment must be conducted and results must be analyzed to ensure protection of the environment. 
",2002-12-31,2002-12-03,English,Environmental Impact Assessment Proclamation (No. 299 of 2002),https://ampeid.org/static/4d94a37fd256b70c4ba2cba8efb68cb5/ETH_Environmental Impact Assessment..pdf,574 kB,.pdf
Environmental Impact Assessment Regulations (G.N. No. 175 of 2011),,VUT,,VUT,"Antimicrobial resistance and water, sanitation, and hygiene",Water quality monitoring,Regulation,"This regulation states that all projects are subject to the EIA provisions, and an environmental management and monitoring plan must be submitted with the EIA report with preliminary environmental assessments, terms of reference, EIA report, etc issued by the Director of the Department of Environmental Protection and Conservation.
",2011-01-01,2012-07-17,English,Environmental Impact Assessment Regulations (G.N. No. 175 of 2011),https://ampeid.org/static/9c203c44751d23f68ed408df7b030355/van137457..pdf,499 kB,.pdf
Environmental Impact Assessment Regulations 1994,,MHL,,MHL,"Antimicrobial resistance and water, sanitation, and hygiene",Water quality monitoring,Regulation,"This regulation enforces environmental impact assessment procedures for public and private development activities to ensure compliance with the National Environmental Protection Act 1984 and the Coast Conservation Act 1988. 
",1994-01-06,1994-01-06,English,Environmental Impact Assessment Regulations 1994,https://ampeid.org/static/379b271a5b7211a62e6bf38d1fab3961/mas99536..pdf,188 kB,.pdf
"Environmental Management (Access to Genetic Resources and Indigenous Genetic Resource-based Knowledge) Regulations, 2009",,ZWE,,ZWE,Access and benefit-sharing,"Access to resources, Benefit-sharing, Compliance, Contractual terms, Legal sanctions, Prior informed consent (PIC), Scope of legislation",Regulation,"These Regulations outline the mechanism to access genetic resources in Zimbabwe. 
",2009-01-01,2009-01-01,English,"Environmental Management (Access to Genetic Resources and Indigenous Genetic Resource-based Knowledge) Regulations, 2009",https://ampeid.org/static/b1045904ad3313ec5090095967c26dd3/ZWE_Environmental Management..pdf,402 kB,.pdf
"Environmental Management (Hazardous Waste Control and Management) Regulations, 2021",,TZA,,TZA,"Antimicrobial resistance and water, sanitation, and hygiene",Medical waste disposal,Regulation,"This regulation controls hazardous waste management to protect the environment, including healthcare waste.
",2021-05-07,2021-05-07,English,"Environmental Management (Hazardous Waste Control and Management) Regulations, 2021",https://ampeid.org/static/f0a03750eaeb0713651a483a2f63f39b/tan214901..pdf,1.63 MB,.pdf
Environmental Management (Licensing) Regulations (S.I. No 112 of 2013),,ZMB,,ZMB,"Antimicrobial resistance and water, sanitation, and hygiene","Effluent wastewater disposal ",Regulation,"This regulation provides for the protection and monitoring of air quality, sets the procedures for managing waste, and addresses toxic waste hazardous to the environment. The Zambia Environmental Protection Agency issues licenses for releasing pollutants, and applications must comply with the Water Resources Management Act, follow specified criteria for wastewater, and may require groundwater monitoring wells.
",2013-11-01,2013-11-01,English,Environmental Management (Licensing) Regulations (S.I. No 112 of 2013),https://ampeid.org/static/114a3c61b270786e9b8728593ee8cf6f/zam151531..pdf,731 kB,.pdf
"Environmental Management (Water Quality Standards) Regulations, 2007",,TZA,,TZA,"Antimicrobial resistance and water, sanitation, and hygiene","Water quality standards, Pollutant disposal in water sources, Water quality monitoring, Effluent wastewater disposal ",Regulation,"This regulation establishes criteria for water quality standards, including procedure for measuring, minimum quality standards, standards for the treatment of effluent before discharge, and approval for effluent treatment.
",2007-01-01,2007-01-01,English,"Environmental Management (Water Quality Standards) Regulations, 2007",https://ampeid.org/static/9758aa82ddd10a46874686d2e5a8b129/tan151541..pdf,124 kB,.pdf
Environmental Management Act,,ZWE,,ZWE,"Antimicrobial resistance and water, sanitation, and hygiene",Water quality monitoring,Legislation,"This act establishes the Environmental Management Agency (EMA), which is responsible for monitoring the pollution of water.
",2002-01-01,2002-01-01,English,Environmental Management Act,https://ampeid.org/static/dcd8de238227a9cc29533dae50b49f12/zim47834 (1)..pdf,366 kB,.pdf
Environmental Management Act 2002,(Act No. 5 of 2002),SWZ,,SWZ,"Access and benefit-sharing, Antimicrobial resistance and water, sanitation, and hygiene","Access to resources, Pollutant disposal in water sources, Water quality monitoring, Scope of legislation",Legislation,"This law establishes a framework for environmental protection programs and the management of natural resources. It mandates that pollutant disposal in water sources be monitored. It also establishes Eswatini's sovereignty over its genetic resources, and explicitly considers genetic material as one of its natural resources to protect and conserve.
",2002-01-01,2002-01-01,English,Environmental Management Act 2002 (Act No. 5 of 2002),https://ampeid.org/static/71a6bfa206a6112df2712c8cf19180af/swa47833..pdf,358 kB,.pdf
"Environmental Management Act, 2004 ",No. 20 of 2004,TZA,,TZA,Access and benefit-sharing,"Access to resources, Scope of legislation",Legislation,"This Act establishes in Art 66 sovereignty over its genetic resources and plans to regulate access and benefit-sharing. However no such regulations exist yet.
",2005-02-08,2005-02-08,English,"Environmental Management Act, 2004 ",https://ampeid.org/static/4d7c59c22c4e8bb8e5f2a925f843d38f/TZA_Environmental Management Act_2004..pdf,7.46 MB,.pdf
"Environmental Management Act, 2011 (No. 12 of 2011)",,ZMB,,ZMB,"Antimicrobial resistance and water, sanitation, and hygiene","Pollutant disposal in water sources, Water quality monitoring, Sewerage",Legislation,"This Act continues the Zambia Environment Management Agency, and provides for an integrated environmental management to protect and conserve natural resources. It establishes regulations and licensing for pollution control (discharging effluent into sewage systems) and monitoring/reporting details. Item 37 states requirements for regulation and monitoring of sewerage systems within the country. 
",2011-04-12,2013-12-19,English,"Environmental Management Act, 2011 (No. 12 of 2011)",https://ampeid.org/static/e84417fa47eda5079e909b0316139637/zam117523..pdf,401 kB,.pdf
Environmental Management and Climate Change 2020,,NRU,,NRU,Access and benefit-sharing,"Contractual terms, Legal sanctions, Scope of legislation, Prior informed consent (PIC)",Legislation,"This Law establishes the rules and regulations relating to Environmental Protection in Nauru. This includes Section 6 the management of access and benefit-sharing of genetic resources and traditional knowledge thereof.
",2020-10-23,2020-10-23,English,Environmental Management and Climate Change 2020,https://ampeid.org/static/a7a20a7c96a098c8782bfbb533800522/NRU_Environmental Management and Climate Change_2020..pdf,174 kB,.pdf
Environmental Management and Climate Change Act No. 34 of 2020,,NRU,,NRU,"Antimicrobial resistance and water, sanitation, and hygiene","Pollutant disposal in water sources, Effluent wastewater disposal , Water quality monitoring",Legislation,"This Act lays down rules for environmental management and protection, including an environmental impact assessment, pollution control, managing the disposal of hazardous substances, waste management, conservation of species, and other environmental protection initiatives. This act also establishes an Environmental Impact Assessment Committee in Part 5, which is charged with overseeing EIAs. 
",2020-10-23,2020-10-23,English,Environmental Management and Climate Change Act No. 34 of 2020,https://ampeid.org/static/42b74b8bbee3ac2add18616ceb0b7c0e/nau202024..pdf,706 kB,.pdf
Environmental Management and Conservation Act,,VUT,,VUT,Access and benefit-sharing,"Compliance, Legal sanctions",Legislation,"This Act relates to all aspects of environmental management, including bioprospecting. As such it outlines the competent national authority as well as the penalties incurred in cases of offences.
",2002-01-01,2002-01-01,English,Environmental Management and Conservation Act,https://ampeid.org/static/dfdcdcc9ccec69330f798ad8e61b74ea/van53103..pdf,242 kB,.pdf
"Environmental Management and Coordination (Waste Management) Regulations, 2006 (Cap. 387)",,KEN,,KEN,"Antimicrobial resistance and water, sanitation, and hygiene",Medical waste disposal,Regulation,"This regulation prohibits the pollution of public places, and requires proper waste disposal. Specific provisions are included to regulate the disposal of potentially infectious or toxic wastes. 
",2006-09-04,2006-09-04,English,"Environmental Management and Coordination (Waste Management) Regulations, 2006 (Cap. 387)",https://ampeid.org/static/78a68456cc59efc063472bbc2d2af098/ken84967..pdf,373 kB,.pdf
Environmental Planning and Protection Act No. 40 of 2019,,BHS,,BHS,"Antimicrobial resistance and water, sanitation, and hygiene","Water quality monitoring, Water quality standards, Pollutant disposal in water sources, Effluent wastewater disposal ",Legislation,"This law establishes a department of environmental planning and protection and includes provisions specific to the monitoring, prevention and control of pollution of natural resources, such as water and aquatic environments. 
",2019-12-19,2019-12-19,English,Environmental Planning and Protection Act No. 40 of 2019.,https://ampeid.org/static/d7510381e3b54bf37e178ea115d4edac/bha199552..pdf,5.78 MB,.pdf
Environmental Protection (Water Quality) Regulations 2000,,GUY,,GUY,"Antimicrobial resistance and water, sanitation, and hygiene","Effluent wastewater disposal , Pollutant disposal in water sources, Water quality monitoring",Regulation,"This regulation prohibits the discharge of effluent unless registered and authorized to by the Environmental Protection Agency. The agency may also establish parameters for types of effluent that is permitted to be discharged.
",2000-11-28,2000-11-28,English,Environmental Protection (Water Quality) Regulations 2000,https://ampeid.org/static/a0d392d667a7f03397923134683cc0c6/guy121165..pdf,56.6 kB,.pdf
Environmental Protection Act,,SVN,,SVN,"Antimicrobial resistance and water, sanitation, and hygiene","Pollutant disposal in water sources, Water quality monitoring",Legislation,"This Act aims to increase sustainable development by establishing a comprehensive system for environmental protection, including environmental protection measures and environmental monitoring.
",2004-04-22,2004-04-22,Slovenian,Zakon o varstvu okolja,https://ampeid.org/static/1bd90c8d5f28efbd736f9e14044f7ae5/slv97886..pdf,849 kB,.pdf
Environmental Protection Act,,BGR,,BGR,"Antimicrobial resistance and water, sanitation, and hygiene","Water quality standards, Pollutant disposal in water sources",Legislation,"This law regulates the pollution of the environment, including water sources, through the establishment of emissions levels and quality standards. 
",2002-09-25,2017-02-03,Bulgarian,ЗАКОН за опазване на околната среда,https://ampeid.org/static/db7b27465b07ecda083148f1dff16539/bul52883..pdf,10.1 MB,.pdf
"Environmental Protection Agency Act, 1992",,IRL,,IRL,"Antimicrobial resistance and water, sanitation, and hygiene","Water quality monitoring, Effluent wastewater disposal , Pollutant disposal in water sources",Legislation,"The legislation establishes the Environmental Protection Agency with the authority to monitor and regulate activities for environmental protection. It requires the Agency to maintain data on environmental quality, conduct environmental impact assessments, and set environmental quality objectives. 
",1992-04-23,1992-04-23,English,"Environmental Protection Agency Act, 1992",https://ampeid.org/static/3395b21f98121fd18a7eec873983c1c3/ire23558..pdf,2.68 MB,.pdf
"Environmental Protection Agency Act, 1994",,GHA,,GHA,"Antimicrobial resistance and water, sanitation, and hygiene","Pollutant disposal in water sources, Water quality monitoring",Legislation,"This legislation establishes the Environmental Protection Agency, the National Environment Fund, and the Pesticides Technical Committee. The Environmental Protection Agency is responsible for authorizing pesticide use and selling, creating environmental policies, regulating waste, and providing standards related to pollution and the environment. 
",1994-12-30,1994-12-30,English,"Environmental Protection Agency Act, 1994",https://ampeid.org/static/35028817f78efa4ad824634ab4364b6f/gha13234..pdf,323 kB,.pdf
Environmental Protection Law 2013 (Revised Version No. 29/NA),,LAO,,LAO,"Antimicrobial resistance and water, sanitation, and hygiene",Water quality monitoring,Legislation,"This law establishes practices and principles for environmental protection. It provides regulations relating to environmental management, monitoring of protection, preservation, and mitigating impacts of pollution.
",2012-12-18,2012-12-18,English,Environmental Protection Law 2013 (Revised Version No. 29/NA),https://ampeid.org/static/c5850d365cfb47e9b451ed6ca9245137/lao151747..pdf,171 kB,.pdf
Environmental Protection Law No. 42 of 2014,,KWT,,KWT,"Antimicrobial resistance and water, sanitation, and hygiene","Pollutant disposal in water sources, Water quality monitoring",Legislation,"This law aims to protect and maintain the natural balance of the environment by establishing an Environmental management system and an Environmental Protection Fund. The laws includes provisions for monitoring water pollution and outlines the regulated pollutants. 
",2014-07-13,2014-10-13,Arabic,قانون رقم (42) لسنة 2014م في شأن إصدار قانون حماية البيئة,https://ampeid.org/static/163ae1355cf9373f33df43577d66fa8f/kuw142030..pdf,1.91 MB,.pdf
"Environmental Protection Law of 1999, No. 678–IQ",,AZE,,AZE,"Antimicrobial resistance and water, sanitation, and hygiene","Water quality standards, Water quality monitoring",Legislation,"This law establishes a legal framework for environmental protection with specific provisions for monitoring and protecting water resources.
",1999-06-08,1999-06-08,Azerbaijani,Ətraf mühitin mühafizəsi haqqında Azərbaycan Respublikasının Qanunu № 678–IQ.,https://ampeid.org/static/d536fbebdbd64eb8e41c0b1bf7c2767b/aze32661..pdf,624 kB,.pdf
Environmental Protection Law of Mongolia,,MNG,,MNG,"Access and benefit-sharing, Antimicrobial resistance and water, sanitation, and hygiene","Scope of legislation, Water quality monitoring",Legislation,"This law regulates relations to guarantee the human right to a healthy environment, sustainable development, and protection of natural resources through provisions on legislation, citizen rights and duties, environmental guidelines, resource ownership, assessments, monitoring, research, funding, and penalties. It does not specifically list pathogens or microbes. 
",1995-06-05,1995-06-05,English,Environmental Protection Law of Mongolia,https://ampeid.org/static/ffb4b5e512807fb66bd6929d195776e1/MNG_EnvironmentalProtectionLaw..pdf,154 kB,.pdf
Environmental Protection and Management Act (Chapter 94A),,SGP,,SGP,"Antimicrobial resistance and water, sanitation, and hygiene",Pollutant disposal in water sources,Legislation,"This Act provides for the control of air, water, and noise pollution, safe management of hazardous wastes and for the protection and management of the environment and resource conservation.
",1999-04-01,1999-04-01,English,Environmental Protection and Management Act (Chapter 94A),https://ampeid.org/static/a3f76d6e6c906297bb980d80167033a2/sin86441..pdf,804 kB,.pdf
Environmental Protection and Management Act No. 10 of 2019,,ATG,,ATG,"Antimicrobial resistance and water, sanitation, and hygiene","Water quality standards, Water quality monitoring, Pollutant disposal in water sources",Legislation,"This act encompasses a broad range of actions associated with the management, monitoring, and protection of water resources, the atmosphere, and wildlife in Antigua and Barbuda. 
",2019-06-07,2019-06-07,English,Environmental Protection and Management Act No. 10 of 2019.,https://ampeid.org/static/c539ce172a00270381fb91d9cfa80280/ant192576..pdf,1.3 MB,.pdf
Environmental Protection and Preservation Act of Maldives (Law No. 4/93),,MDV,,MDV,"Antimicrobial resistance and water, sanitation, and hygiene","Pollutant disposal in water sources, Water quality monitoring",Legislation,"This Act establishes the principles for environmental protection, providing environmental guidance and gives the Ministry of Planning, Human Resources and Environment the responsibility for formulating policies, identifying protected areas, and conducting impact assessments for development projects with potential environmental impacts.
",1993-01-01,1993-01-01,English,Environmental Protection and Preservation Act of Maldives (Law No. 4/93),https://ampeid.org/static/fcb7cb51b2bb4eafcb471a1279d08724/mdv18342..pdf,89.8 kB,.pdf
"Environmental Public Health (Quality of Piped Drinking Water) Regulations, 2008",,SGP,,SGP,"Antimicrobial resistance and water, sanitation, and hygiene","Water quality standards, Water quality monitoring",Regulation,"This regulation requires water suppliers prepare and implement a water safety plan and a water sampling plan. Suppliers must analyze and monitor their water in accordance with the sampling plan approved by the Director General.
",2008-01-29,2008-01-29,English,"Environmental Public Health (Quality of Piped Drinking Water) Regulations, 2008",https://ampeid.org/static/d3cee5eefcff29b304af852f559ba056/sin88150..pdf,167 kB,.pdf
Environmental Public Health Act 1987,,SGP,,SGP,"Antimicrobial resistance and water, sanitation, and hygiene",Medical waste disposal,Legislation,"This law outlines waste management rules, prohibiting the use of human waste matter as manure, regulates waste recycling processes, and states that waste producers are responsible for treating their waste and require authorization prior to disposal.
",1987-07-01,1987-07-01,English,Environmental Public Health Act 1987,https://ampeid.org/static/3134fd9d5590e9cd3288fefc61b364b2/sin46825..pdf,607 kB,.pdf
"Environmental Quality (Industrial Effluent) Regulations, 2009",,MYS,,MYS,"Antimicrobial resistance and water, sanitation, and hygiene","Effluent wastewater disposal ",Regulation,"This regulation outlines the procedure for creating wastewater treatment facilities, acceptable water quality for the release of effluent wastewater, provides for the monitoring of effluent wastewater, establishes procedures in case of accidental spills of wastewater, and includes penalties and license fees.
",2009-12-10,2009-12-10,English,"Environmental Quality (Industrial Effluent) Regulations, 2009",https://ampeid.org/static/8a4c0922744e2ddb5fdc40529d05fc17/mal102817..pdf,434 kB,.pdf
Environmental Quality (Prescribed Activities) (Environmental Impact Assessment) Order 1987,,MYS,,MYS,"Antimicrobial resistance and water, sanitation, and hygiene",Water quality monitoring,Regulation,"This regulation subjects various sectors to undergo the environmental quality assessment.
",1987-09-30,1988-04-01,English,Environmental Quality (Prescribed Activities) (Environmental Impact Assessment) Order 1987,https://ampeid.org/static/f67660b6c68348ffad4aca9fa552f9a8/mal13290..pdf,126 kB,.pdf
"Environmental Quality (Sewage) Regulations, 2009",,MYS,,MYS,"Antimicrobial resistance and water, sanitation, and hygiene","Sewerage, Effluent wastewater disposal ",Regulation,"The regulation defines acceptable sewage discharge conditions, specify methods for sewage chemical analysis, and covers monitoring, containment, sludge discharge restrictions, inspections, license fees and penalties.
",2009-12-10,2009-12-10,English,"Environmental Quality (Sewage) Regulations, 2009",https://ampeid.org/static/949f36b02221df6e5211902bc9bef5cc/mal99051..pdf,413 kB,.pdf
Environmental Quality Protection Act (Chapter 1 of Title 24 of Palau National Code),,PLW,,PLW,"Antimicrobial resistance and water, sanitation, and hygiene",Pollutant disposal in water sources,Legislation,"This legislation states that the Palau environmental Quality Protection Board is responsible for enforcing drinking water regulations, regulating the discharge of pollutants, certifying applicators of pesticides, and issuing experimental pesticide use permits.
",2001-01-01,2001-01-01,English,Environmental Quality Protection Act (Chapter 1 of Title 24 of Palau National Code),https://ampeid.org/static/c65b45954ecad838c1e31d4a6db449ab/pau6997..pdf,168 kB,.pdf
"Environmental Quality Standards Regulations, 1999",,GMB,,GMB,"Antimicrobial resistance and water, sanitation, and hygiene","Water quality standards, Water quality monitoring",Regulation,"This regulation establishes the Environment Quality Standards Board and states that it is responsible for formulating policies and standards related to the environment and for assisting the National Environment Management Council. This board will set water quality standards and protocols for monitoring the quality of water bodies. 
",1999-01-01,1999-01-01,English,"Environmental Quality Standards Regulations, 1999",https://ampeid.org/static/9aea2e073b61978e59bbdae74224f019/gam95812..pdf,29.2 kB,.pdf
