Topic,Subtopic,Country,Status,Status justification
Access and benefit-sharing,Contractual terms,MAC,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,BHR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,EGY,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,IRQ,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,PSE,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,JOR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,KWT,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,LBN,No ABS legislation identified,"While a mechanism for access and benefit-sharing has been proposed, there are currently no substantive mentions of this subject in the available legislation."
Access and benefit-sharing,Contractual terms,LBY,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,MAR,No ABS legislation identified,"While there is a draft law in motion for the legislation of access and benefit-sharing (n° 56-17), it is not yet active and thus access and benefit-sharing is currently unregulation"
Access and benefit-sharing,Contractual terms,OMN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,PAK,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,QAT,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,SOM,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,SDN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,SYR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,TUN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,YEM,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,AGO,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,BWA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,BFA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,BDI,No ABS legislation identified,Draft Laws published in 2017 but not yet passed
Access and benefit-sharing,Contractual terms,CIV,No ABS legislation identified,"Legislation exists relevant to forests, traditional medicine, waters, soils, flora, and fauna. No legislation covering genetic resources as it might apply to micro-organisms exists, however."
Access and benefit-sharing,Contractual terms,CPV,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,TCD,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,GNQ,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,ERI,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,GAB,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,GMB,No ABS legislation identified,"While a mechanism for access and benefit-sharing has been proposed, there are currently no substantive mentions of this subject in the available legislation."
Access and benefit-sharing,Contractual terms,GHA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,GIN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,GNB,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,LSO,No ABS legislation identified,The regulations controlling for this topic are not yet in force.
Access and benefit-sharing,Contractual terms,LBR,No ABS legislation identified,The Environment Protection and Management Law of 2004 outlines provisions to establish access and benefit-sharing mechanisms in Liberia. However to date these have not yet been established.
Access and benefit-sharing,Contractual terms,MLI,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,MRT,No ABS legislation identified,"Legislation exists covering the genetic resources as they pertain to animals, plants, and aquaculture. However none exists that would cover pathogens or microbes."
Access and benefit-sharing,Contractual terms,MUS,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,COG,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,STP,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,SEN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,SYC,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,SSD,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,TGO,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,VAT,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,LIE,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,AZE,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,SVN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,KGZ,No ABS legislation identified,"Legislation exists which regulates traditional knowledge and the traditional usage of genetic resources. However no legislation could be found which regulates the access to genetic resources, as they may apply to pathogens."
Access and benefit-sharing,Contractual terms,HTI,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Access and benefit-sharing,Contractual terms,NER,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Contractual terms,AUT,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,BEL,Access is unrestricted,"There is no specific contract-setting process in country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,CYP,Access is unrestricted,"There are no specified contract-setting process for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,CZE,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,DNK,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,EST,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,DEU,Access is unrestricted,"There are no restrictions on access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,HUN,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,IRL,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,JPN,Access is unrestricted,"Insofar as access to genetic resources is unrestricted in Japan, there were no specified requirements in the available legislation. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,LVA,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,LUX,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,MNE,Access is unrestricted,"A contract with the competent national authority is required when setting up a gene bank, which is the process by which research on genetic resources can occur. There are no explicit pathways for commercial use of genetic resources."
Access and benefit-sharing,Contractual terms,NLD,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,POL,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,SVK,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,SWE,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Contractual terms,GBR,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Benefit-sharing,GTM,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,LAO,Access is restricted and benefit-sharing is mandated,"The sharing of benefits is required in order to access genetic resources, however no further details are provided."
Access and benefit-sharing,Benefit-sharing,IND,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,BGR,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,FRA,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,ROU,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,BRA,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,CRI,Access is restricted and benefit-sharing is mandated,"Benefit-sharing is required for commercial purposes, however for non-commercial purposes or for basic research, there are no benefit-sharing requirements."
Access and benefit-sharing,Benefit-sharing,DOM,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,NIC,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,PAN,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,PER,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,AUS,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits. The specifics of this vary depending on the state or territory or provenance."
Access and benefit-sharing,Benefit-sharing,VNM,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,KHM,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,PHL,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,VUT,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,NCL,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,BTN,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,BGD,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,BEN,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,CMR,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,COD,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,ETH,Access is restricted and benefit-sharing is mandated,"Prescribed monetary benefits are upfront in the form of ""Access Money"". Other forms of monetary and non-monetary benefits are suggested in the Proclamation and are subject to negotiations."
Access and benefit-sharing,Benefit-sharing,KEN,Access is restricted and benefit-sharing is mandated,"The Regulations establish a need for monetary or non-monetary benefits to be shared, and offers a list of examples. In addition, a fee is incurred upon application for an access permit."
Access and benefit-sharing,Benefit-sharing,NAM,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,NGA,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,ZAF,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,UGA,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,ZMB,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,AFG,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the nature of those benefits.  (Article 61 of the Environmental Law)"
Access and benefit-sharing,Benefit-sharing,ALB,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,DZA,Access is restricted and benefit-sharing is mandated,"Benefit-sharing is required for access with commercialization purposes. No benefit-sharing is required for scientific research. "
Access and benefit-sharing,Benefit-sharing,ATG,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,BHS,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,COM,Access is restricted and benefit-sharing is mandated,"Benefit-sharing is required, be it either monetary, non-monetary, or both. However no specific regime is prescribed."
Access and benefit-sharing,Benefit-sharing,HRV,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,CUB,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,DJI,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,ECU,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,KIR,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,MWI,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,MYS,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,MLT,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,MEX,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,ESP,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,THA,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,TLS,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,URY,Access is restricted and benefit-sharing is mandated,"In cases of commercial utilization the competent national authority shall assess the case for potential benefits derived from its use. No further guidance is provided as to the nature of such benefits required, however."
Access and benefit-sharing,Benefit-sharing,VEN,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,ZWE,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Access and benefit-sharing,Benefit-sharing,GUY,Access is restricted and benefit-sharing is mandated,There are minimum requirements including non-monetary (co-authorship and involvement of guyanese nationals) and monetary (royalties and sharing of profits)
Access and benefit-sharing,Benefit-sharing,MOZ,Access is restricted and benefit-sharing is mandated,"Benefit-sharing is mandated in cases where the accessed resource is commercialized. Benefits include royalties, technology transfer, and training."
Access and benefit-sharing,Benefit-sharing,BOL,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Access and benefit-sharing,Benefit-sharing,BLR,Access is restricted but benefit-sharing is not mandated,There are no specific benefit-sharing requirements outlined in the ABS legislation.
Access and benefit-sharing,Benefit-sharing,GRC,Access is restricted but benefit-sharing is not mandated,"There are no specified benefit-sharing requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Benefit-sharing,ARG,Access is restricted but benefit-sharing is not mandated,"There are no specified benefit-sharing requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Access and benefit-sharing,Benefit-sharing,COL,Access is restricted but benefit-sharing is not mandated,There were no specified benefit-sharing requirements found in the legislation.
Access and benefit-sharing,Benefit-sharing,KOR,Access is restricted but benefit-sharing is not mandated,"Benefits are suggested in order to access genetic resources, however there are no explicit requirements for this"
Access and benefit-sharing,Benefit-sharing,ARE,Access is restricted but benefit-sharing is not mandated,"Benefit-sharing is mentioned, though not explicitly required"
Access and benefit-sharing,Benefit-sharing,CAF,Access is restricted but benefit-sharing is not mandated,"It is said that the use of biological diversity should ""take into account"" the sharing of benefits derived from the use of genetic resources. However no specific requirements are outlined."
Access and benefit-sharing,Benefit-sharing,MDG,Access is restricted but benefit-sharing is not mandated,"Benefit-Sharing is suggested, however the wording is not legally binding."
Access and benefit-sharing,Benefit-sharing,RWA,Access is restricted but benefit-sharing is not mandated,"The access permit shall be granted in accordance to stakeholders claiming interest in the relevant genetic resource. However to date, the ministerial order enacting this is not yet published."
Access and benefit-sharing,Benefit-sharing,FIN,Access is restricted but benefit-sharing is not mandated,"Benefit-sharing is outlined as a possible element, although not necessarily requirement of the mutually agreed terms for access to resources. While this legislation centers this process around traditional Saami knowledge, it does not exclude its applicability on broader genetic resources within Finland."
Access and benefit-sharing,Benefit-sharing,PRT,Access is restricted but benefit-sharing is not mandated,"While there are no strict benefit-sharing requirements outlined in the legislation, these may be included in the mutually agreed terms, in which case they must be honored."
Access and benefit-sharing,Benefit-sharing,NOR,Access is restricted but benefit-sharing is not mandated,"While there are no strict benefit-sharing requirements, provisions in this law are made so that the King may issue regulations to this effect at a later date."
Access and benefit-sharing,Benefit-sharing,CHE,Access is restricted but benefit-sharing is not mandated,"While there is no prescribed benefit-sharing requirements in this country, the legislation establishes that this may be negotiated under the mutually agreed terms, and be complied with. "
Access and benefit-sharing,Benefit-sharing,HND,Access is restricted but benefit-sharing is not mandated,There are no specified benefit-sharing requirements outlined in the available legislation
Access and benefit-sharing,Benefit-sharing,IRN,Access is restricted but benefit-sharing is not mandated,There were no specified benefit-sharing requirements outlined in the available legislation.
Access and benefit-sharing,Benefit-sharing,NRU,Access is restricted but benefit-sharing is not mandated,There are no substantive mentions of this subject in the available legislation
Access and benefit-sharing,Benefit-sharing,MKD,Access is restricted but benefit-sharing is not mandated,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,SLV,Access is restricted but benefit-sharing is not mandated,"There are no specified benefit-sharing requirements for access to genetic resources from this country. "
Access and benefit-sharing,Benefit-sharing,SAU,Access is restricted but benefit-sharing is not mandated,There are restrictions to access but no benefit-sharing is explicitly mandated
Access and benefit-sharing,Benefit-sharing,SWZ,Access is restricted but benefit-sharing is not mandated,There are no substantive mentions of this subject in the available legislation
Access and benefit-sharing,Benefit-sharing,TZA,Access is restricted but benefit-sharing is not mandated,"The Environmental Act of 2004 proclaims sovereignty over domestic genetic resources, and establishes plans for future ABS regulations. However to date no such exist."
Access and benefit-sharing,Benefit-sharing,TJK,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,CAN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,FJI,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,SLE,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,GEO,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,ISL,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,ISR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,ITA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,KAZ,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,KGZ,No ABS legislation identified,"Legislation exists which regulates traditional knowledge and the traditional usage of genetic resources. However no legislation could be found which regulates the access to genetic resources, as they may apply to pathogens."
Access and benefit-sharing,Benefit-sharing,LTU,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,MCO,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,MDA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,RUS,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,SRB,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,SMR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,TKM,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,UKR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,UZB,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,USA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,BRB,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,BLZ,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,CHL,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,DMA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,GRD,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,JAM,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,PRY,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,KNA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,LCA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,VCT,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,SUR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,TTO,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,BRN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,CHN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,COK,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,MHL,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,FSM,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,MNG,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,NZL,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,NIU,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,PLW,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,PNG,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,WSM,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,SGP,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,SLB,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,TON,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,TUV,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,TWN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,IDN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,PRK,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Benefit-sharing,MDV,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
